Title,Organization,RFP_No,Contract_Val,Contract_Type,Service,Comp_Type,NAICS,Priority
ADVISORY AND ASSISTANCE SERVICES FOR SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE,AIR FORCE/AIR MOBILITY COMMAND,FA445211R0013,99000,Firm Fixed Price,Management Consulting,Small Bus Set-Aside,541611,1
ADVISORY AND ASSISTANCE SERVICES FOR THE AIR FORCE FOR WARFIGHTING INTEGRATION AND CIO MODELING AND SIMULATION POLICY DIVISION,AIR FORCE/OFFICE OF WARFIGHTING INTEGRATION AND CHIEF INFORMATION OFFICER,,15000,Firm Fixed Price,Management Consulting,Small Bus Set-Aside,541611,3
ADVISORY AND ASSISTANCE SERVICES FOR THE ASSISTANT SECRETARY OF DEFENSE FOR LOGISTICS AND MATERIEL READINESS,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,RFQ688522,0,Blanket Purchase Agreement,Professional Services,Full and Open / Unrestricted,,1
ADVISORY AND ASSISTANCE SERVICES FOR UNITED STATES STRATEGIC COMMAND SYSTEMS AND MISSIONS SUPPORT,AIR FORCE/AIR COMBAT COMMAND,FA460013R0001,800000,Cost Plus Fixed Fee,Management Consulting,Small Bus Set-Aside,541330,2
ADVISORY AND ASSISTANCE SERVICES TO SUPPORT THE DEFENSE THREAT REDUCTION AGENCY RESEARCH AND DEVELOPMENT DIRECTORATE,DEFENSE/DEFENSE THREAT REDUCTION AGENCY,DTRAJ9FOAAS,0,TBD,Research & Development,Undetermined,541712,1
AEC ENVIRONMENTAL COMPLIANCE CONTRACT SUPPORT SERVICES IN NAVAL WEAPONS STATION SEAL BEACH,NAVY/NAVAL FACILITIES ENGINEERING COMMAND,N6247313R2806,4127,Firm Fixed Price,Engineering,8(a) Set-Aside,541620,5
AEC SCOTT AFB PERFORMANCE BASED REMEDIATION,AIR FORCE/AIR FORCE CIVIL ENGINEER CENTER,FA890314R0002,37000,Firm Fixed Price,Waste Management and Remediation Services,Small Bus Set-Aside,562910,2
AFPEO ACQUISITION SUPPORT SERVICES,AIR FORCE/AIR FORCE DISTRICT OF WASHINGTON,,12000,Firm Fixed Price,Business Operations / BPO,Small Bus Set-Aside,541611,1
AIR FORCE IPV GEN III,DEFENSE/DEFENSE LOGISTICS AGENCY,SPM50005R0068,750000,Firm Fixed Price,Administrative / Logistics / Support,Full and Open / Unrestricted,332510,1
AIR MOBILITY COMMAND SUPPLY CHAIN ANALYSIS,AIR FORCE/AIR MOBILITY COMMAND,AMCSCA2,0,TBD,ERP / Supply Chain Management,Full and Open / Unrestricted,541614,4
ALGORITHM TEST BED EVALUATION AND INDEPENDENT VERIFICATION AND VALIDATION,HOMELAND SECURITY/DOMESTIC NUCLEAR DETECTION OFFICE,HSHQDC12Q00033,0,TBD,Research & Development,Full and Open / Unrestricted,541710,1
ALLIANT I UMBRELLA REPORT,GENERAL SERVICES ADMINISTRATION/FEDERAL ACQUISITION SERVICE,,65000000,Indefinite Delivery Indefinite Quantity,IT Professional Services,Other,541519,3
AMC WIDE ADVISORY AND ASSISTANCE SERVICES FOR SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE SMALL BUSINESS SET ASIDE,AIR FORCE/AIR MOBILITY COMMAND,,99000,Firm Fixed Price,Management Consulting,Small Bus Set-Aside,541611,3
AMCOM EXPEDITED PROFESSIONAL AND ENGINEERING SUPPORT SERVICES LOGISTICS 2008,ARMY/ARMY MATERIEL COMMAND,W31P4Q08TEXPRESS,0,Blanket Purchase Agreement,Processing Services,Other,541330,1
AMCOM EXPEDITED PROFESSIONAL AND ENGINEERING SUPPORT SERVICES THE NEXT GENERATION PROGRAMMATIC,ARMY/ARMY MATERIEL COMMAND,,0,Blanket Purchase Agreement,IT Professional Services,"Small Bus Set-Aside,Full and Open / Unrestricted",541330,2
AMCOM EXPRESS LOGISTICS OPEN SEASON 2013,ARMY/ARMY MATERIEL COMMAND,W31P4Q13T0049,0,Blanket Purchase Agreement,IT Professional Services,"8(a) Set-Aside,Small Bus Set-Aside,Full and Open / Unrestricted,Other",541330,2
AMCOM EXPRESS THE NEXT GENERATION TECHNICAL,ARMY/ARMY MATERIEL COMMAND,,0,Blanket Purchase Agreement,IT Professional Services,"Small Bus Set-Aside,Full and Open / Unrestricted",541712,1
ANALYSIS AND DEVELOPING VALIDATED REQUIREMENTS,MARINE CORPS/MARINE CORPS COMBAT DEVELOPMENT COMMAND,M0026413RFI0105,0,TBD,Management Consulting,Undetermined,541611,2
ANALYSIS OF MOBILITY PLATFORM RESEARCH DEVELOPMENT AND SUPPORT PROGRAM,DEFENSE/US TRANSPORTATION COMMAND,HTC71113RD008,35000,Indefinite Delivery Indefinite Quantity,Modeling / Simulation,Full and Open / Unrestricted,541511,2
ANALYSIS SUPPORT FOR THE CENTER FOR ARMY LESSONS LEARNED,ARMY/ARMY TRAINING AND DOCTRINE COMMAND,W91QF411R0031,6038,Firm Fixed Price,Management Consulting,Small Bus Set-Aside,541690,1
ANALYSIS SYSTEM ENGINEERING AND OPERATIONS RESEARCH,TRANSPORTATION/FEDERAL AVIATION ADMINISTRATION,DTFAWA10R02197,0,TBD,Engineering / Scientific,Undetermined,541990,1
ANALYTIC AGENDA AND DELIBERATE PLANNING SUPPORT SERVICES,NAVY/NAVAL SEA SYSTEMS COMMAND,,24393,Task Order,Information Technology,Other,541330,1
ANALYTIC AND PROGRAMMATIC SUPPORT AT THE ARMY PENTAGON,ARMY/CHIEF OF STAFF OF THE ARMY,W91WAW13R0015,0,Firm Fixed Price,Management Consulting,Undetermined,541618,3
ANALYTIC AND TECHNICAL SUPPORT SERVICES,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,HQ003414R0074,300000,Cost Reimbursement,Management Consulting,Full and Open / Unrestricted,541990,3
ANALYTIC ENGINEERING SCIENTIFIC AND PROGRAMMING SERVICES SUPPORTING WARFARE CAMPAIGN MISSION AND OTHER ANALYSES FOR THE OFFICE OF THE CHIEF OF NAVAL OPERATIONS ASSESSMENT DIVISION N81,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0018914RZ046,0,Cost Plus Fixed Fee,Management Consulting,Undetermined,541611,2
ANALYTIC SUPPORT FOR SNAP POLICY,AGRICULTURE/FOOD AND NUTRITION SERVICE,TBD,10000,Blanket Purchase Agreement,Administrative / Logistics / Support,Small Bus Set-Aside,541690,1
ANALYTIC SUPPORT TO EXPERIMENTATION SUPPORT GROUP,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0018914AA220,5090,Cost Plus Fixed Fee,Planning & Analysis,Other,541330,1
ANALYTICAL AND FUNCTIONAL LOGISTICS SUPPORT SERVICES,DEFENSE/DEFENSE LOGISTICS AGENCY,SP330012R0003,5490,Cost Reimbursement,Administrative / Logistics / Support,Small Bus Set-Aside,541614,5
ANALYTICAL AND TECHNICAL SUPPORT SERVICES FOR THE DHS FEDERAL EMERGENCY MANAGEMENT AGENCY,HOMELAND SECURITY/FEDERAL EMERGENCY MANAGEMENT AGENCY,,13275,Time and Materials,Administrative / Logistics / Support,Other,541611,2
ANALYTICAL ENGINEERING TECHNICAL AND MANAGEMENT SUPPORT SERVICES,ARMY/ARMY MATERIEL COMMAND,W91ZLK14T8989,9900,Cost Plus Fixed Fee,"Management, Scientific, and Technical Consulting Services",Full and Open / Unrestricted,541990,3
ANALYTICAL MANAGEMENT AND ADMINISTRATIVE SERVICES IN SUPPORT OF OPNAV N80,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,,3400,Labor Hour,Financial Services,Undetermined,541611,1
ANALYTICAL SUPPORT,ARMY/ARMY TRAINING AND DOCTRINE COMMAND,W91QF413R0010,1226,Firm Fixed Price,"Management, Scientific, and Technical Consulting Services",Service Disabled Veteran Owned Small Business,541690,2
ANALYTICAL SUPPORT FOR UNITED STATES CENTRAL COMMAND RESOURCES ANALYSIS DIRECTORATE,DEFENSE/US CENTRAL COMMAND,N0002414R3138,7705,Cost Plus Fixed Fee,Engineering / Scientific,Full and Open / Unrestricted,541330,1
ANALYTICAL SUPPORT TO FORCE PLANNING D,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,HQ003411R0008,0,Firm Fixed Price,Help Desk Services,Service Disabled Veteran Owned Small Business,541611,1
APPLICATION OPERATIONS SERVICES PROVIDER,DEFENSE/NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY,HM157213R0007,0,TBD,IT Professional Services,Full and Open / Unrestricted,541519,1
APPLICATION STORE DEVELOPMENT,DEFENSE/DEFENSE INTELLIGENCE AGENCY,AppStore012510,0,TBD,Applications Software,Small Bus Set-Aside,541511,4
ARMS CONTROL TREATY IMPLEMENTATION AND COMPLIANCE AND TREATY INFORMATION MANAGEMENT SYSTEM SUPPORT,NAVY/STRATEGIC SYSTEMS PROGRAMS,N0003015R0202,10202,Cost Plus Fixed Fee,"Management, Scientific, and Technical Consulting Services",Undetermined,541990,1
ARMY ENTERPRISE RESOURCE PLANNING SERVICES,"ARMY/ASST SEC FOR ACQUISITION, LOGISTICS AND TECHNOLOGY",W52P1J14R0059,846000,Indefinite Delivery Indefinite Quantity,ERP / Supply Chain Management,Small Bus Set-Aside,541519,1
ARMY OPERATIONS CENTER COMMAND AND CONTROL SYSTEM SYSTEMS ADMINISTRATION IT SUPPORT,ARMY/COMMAND AND CONTROL SUPPORT AGENCY,W91WAW11R0076,1916,Firm Fixed Price,Maintenance Support Services,Sole Source,541511,4
ARTS AND GRAPHICS SERVICES,ARMY,,0,TBD,Professional Services,Undetermined,,5
ASH PROGRAM SUPPORT SERVICES,TRANSPORTATION/FEDERAL AVIATION ADMINISTRATION,DTFAWA13R00014,76121,Cost Plus Fixed Fee,Administrative / Logistics / Support,"Small Bus Set-Aside,Full and Open / Unrestricted",541690,1
ASSESSMENT AND AUTHORIZATION SERVICES,COMMERCE/NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,SB134112RP0005,9000,Indefinite Delivery Indefinite Quantity,Risk Management,Service Disabled Veteran Owned Small Business,541519,2
ASSESSMENT PLANNING ASSESSMENT EXECUTION AND ASSESSMENT REPORTS,NAVY/NAVAL FACILITIES ENGINEERING COMMAND,N3943014R1407,0,Firm Fixed Price,Management Consulting,Sole Source,541330,2
AUTOMATIC IDENTIFICATION TECHNOLOGY AND IN TRANSIT SUPPORT,DEFENSE/US TRANSPORTATION COMMAND,HTC71109D0004,30000,Firm Fixed Price,IT Professional Services,Small Bus Set-Aside,541519,3
AVIATION LOGISTICS CENTER ADMINISTRATIVE SUPPORT,HOMELAND SECURITY/US COAST GUARD,HSCG3812R410007,4725,Indefinite Delivery Indefinite Quantity,Administrative / Logistics / Support,8(a) Set-Aside,561210,1
BASELINE HEALTH POLICY AND ANALYSIS SUPPORT,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,HT001114RFIBHPA,0,TBD,Professional Services,Undetermined,541611,1
BIG DATA STORAGE AND ANALYTICS TECHNOLOGY,HOMELAND SECURITY/SCIENCE AND TECHNOLOGY DIRECTORATE,HSHQDC13BIGDATARFI,0,TBD,System Design and Architecture,Undetermined,541512,1
BIOMETRICS OPERATIONS AND SUPPORT SERVICES RESTRICTED PORTION,DEFENSE,,124000,Cost Reimbursement,Application Ops / Management,Small Bus Set-Aside,541611,1
BROAD AGENCY ANNOUNCEMENT NATIONAL DEFENSE STOCKPILE SUPPLY CHAIN BASIC RESEARCH,DEFENSE/DEFENSE LOGISTICS AGENCY,BAADLASM201301,299,TBD,Research & Development,Full and Open / Unrestricted,541720,1
BROAD BASED RESEARCH AND ANALYTIC SUPPORT FOR CECOM ESA DIRECTORATE ARMY G4,ARMY/CHIEF OF STAFF OF THE ARMY,W909MY13RA003,7308,Indefinite Delivery Indefinite Quantity,Research & Development,Full and Open / Unrestricted,541990,4
BUSINESS ANALYSIS AND COMMUNICATION SUPPORT,HOMELAND SECURITY/CUSTOMS AND BORDER PROTECTION,,8458,Labor Hour,Administrative / Logistics / Support,Other,541611,2
BUSINESS AND INFORMATION TECHNOLOGY MODERNIZATION PROGRAM,LABOR/OFFICE OF ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT,10129610861,0,Firm Fixed Price,"Management, Scientific, and Technical Consulting Services",Service Disabled Veteran Owned Small Business,541618,2
BUSINESS INTEGRATION SUPPORT,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA820111RBIS,1829,Firm Fixed Price,Professional Services,Service Disabled Veteran Owned Small Business,541511,1
BUSINESS INTELLIGENCE SUPPORT AND ACQUISITION SUPPORT FOR C AND E TVR TLSP,DEFENSE/DEFENSE LOGISTICS AGENCY,,2898,Firm Fixed Price,IT Professional Services,"8(a) Set-Aside,Sole Source",518210,2
BUSINESS INTERFACE OFFICE TECHNICAL SUPPORT SERVICES,ARMY/ARMY MATERIEL COMMAND,W15QKN12T0005,55,Firm Fixed Price,Professional Services,Service Disabled Veteran Owned Small Business,541611,5
BUSINESSWARE ENGINEERING SUPPORT SERVICES,VETERANS AFFAIRS/OFFICE OF INFORMATION AND TECHNOLOGY,VA11811RP0491,3789,Firm Fixed Price,Planning & Analysis,Other,541512,2
C130J TRAINING SYSTEMS SUSTAINMENT,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA862113R6305,55,Cost Reimbursement,Operations & Maintenance,Service Disabled Veteran Owned Small Business,336413,1
C4I ENGINEERING AND TECHNICAL SUPPORT SERVICES,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,,0,TBD,IT Professional Services,Undetermined,541330,2
C4ISR WEAPONS SYSTEMS SUSTAINMENT SUPPORT,ARMY/ARMY MATERIEL COMMAND,,312000,Cost Plus Fixed Fee,Administrative / Logistics / Support,Full and Open / Unrestricted,,4
CAPABILITY BASED LOGISTICS COST ANALYSIS,DEFENSE,,0,Firm Fixed Price,IT Professional Services,Full and Open / Unrestricted,541614,2
CASCOM OMNIBUS FOR COMBAT DEVELOPMENT SUPPORT SERVICES,ARMY/ARMY TRAINING AND DOCTRINE COMMAND,,6927,Firm Fixed Price,IT Professional Services,8(a) Set-Aside,541990,3
CENTRALIZED ANALYTICAL SUPPORT SERVICES FOR FLEET READINESS DIVISION,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0018913RZ027,3662,Cost Plus Fixed Fee,"Management, Scientific, and Technical Consulting Services",Small Bus Set-Aside,541990,3
CHIEF INFORMATION OFFICE COMMUNICATIONS LIAISON AND OPERATIONS SUPPORT SERVICES,HOMELAND SECURITY,AAP61656,12007,Indefinite Delivery Indefinite Quantity,Administrative / Logistics / Support,Service Disabled Veteran Owned Small Business,541611,4
CHIEF TECHNOLOGY OFFICER SUPPORT FOR THE US ARMY INFORMATION TECHNOLOGY AGENCY,ARMY/SECRETARY OF THE ARMY,W91QUZ12R0021,0,Cost Plus Fixed Fee,Management Consulting,Other,541611,1
CLERICAL AND ADMINISTRATIVE SUPPORT TO THE RDT AND E SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE CONTRACTS,HOMELAND SECURITY/SCIENCE AND TECHNOLOGY DIRECTORATE,,0,TBD,Administrative / Logistics / Support,Other,541611,1
CMS IT VIRTUAL DATA CENTER,HEALTH AND HUMAN SERVICES/CENTERS FOR MEDICARE AND MEDICAID SERVICES,TBD,0,TBD,System Design and Architecture,Undetermined,,4
CNAF LOGISTICS SUPPORT NAS LEMOORE,NAVY/NAVAL AIR SYSTEMS COMMAND,N0024412R0022,327,Firm Fixed Price,Defense & Aerospace,Sole Source,541330,1
COMBINED COMPETITIVE SOURCING PROGRAM SUPPORT,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,,3031,Firm Fixed Price,Operations & Maintenance,Full and Open / Unrestricted,541611,1
COMMERCIAL ENTERPRISE OMNIBUS SUPPORT SERVICES OPEN SEASON FY12 ENGINEERING AND SCIENTIFIC DOMAIN,MARINE CORPS/MARINE CORPS SYSTEMS COMMAND,,124190,Blanket Purchase Agreement,Engineering / Scientific,Other,541330,4
COMMERCIAL JOINT MAPPING TOOLKIT,DEFENSE/NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY,CJMTKRFI,73000,Cost Plus Fixed Fee,Program/Project Management,Full and Open / Unrestricted,541519,1
COMMUNICATIONS AND OPERATIONS RESEARCH ANALYSIS SUPPORT SERVICES 8A SET ASIDE,TRANSPORTATION/RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,DTRT5713R20007,68147,Cost Plus Fixed Fee,Professional Services,8(a) Set-Aside,541990,1
COMPREHENSIVE COST AND REQUIREMENT BUSINESS ANALYST,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA863011R5040,729,Firm Fixed Price,Financial Services,Other,541990,2
CONCEPT DEVELOPMENT AND PROTOTYPE EXPERIMENTATION SUPPORT,ARMY/ARMY TRAINING AND DOCTRINE COMMAND,W91QF412R0033,0,Firm Fixed Price,Research & Development,Full and Open / Unrestricted,541690,1
CONFIGURATION MANAGEMENT IVV AND SOFTWARE REPOSITORY ENGINEERING AND TECHNICAL SUPPORT,NAVY/NAVAL SEA SYSTEMS COMMAND,,17839,Task Order,Information Technology,Other,541330,1
CONSOLIDATED SECURITY COOPERATION REQUIREMENTS,"ARMY/ASST SEC FOR ACQUISITION, LOGISTICS AND TECHNOLOGY",W91CRB14R0028,0,Firm Fixed Price,Program/Project Management,Full and Open / Unrestricted,541611,2
CONSULTANT SERVICES FOR A76 COMPETITION SUPPORT,ARMY/ARMY CORPS OF ENGINEERS,,6000,Firm Fixed Price,Management Consulting,Service Disabled Veteran Owned Small Business,541611,1
CONSULTANT SUPPORT FOR LONGTERM SPECIALIZED SUPPORT PROGRAMS AND SUPPLIER RELATIONSHIP MANAGEMENT AT DEFENSE SUPPLY CENTER RICHMOND,DEFENSE/DEFENSE LOGISTICS AGENCY,,14635,Time and Materials,IT Professional Services,Undetermined,541611,3
CONSULTING SERVICES,DEFENSE/DEFENSE LOGISTICS AGENCY,,15000,Firm Fixed Price,IT Professional Services,Full and Open / Unrestricted,541618,4
CONSULTING SERVICES FOR NATICK SOLDIER RESEARCH DEVELOPMENT ENGINEERING CENTER,ARMY/ARMY MATERIEL COMMAND,,1114,Firm Fixed Price,Management Consulting,Small Bus Set-Aside,541611,3
CONTINUITY OF OPERATIONS FOR THE US ARMY HQDA,ARMY/CHIEF OF STAFF OF THE ARMY,W91CRB13R0044,5471,Cost Plus Fixed Fee,Professional Services,Service Disabled Veteran Owned Small Business,541513,3
CONTINUOUS PROCESS IMPROVEMENT PROGRAM,AIR FORCE/AIR FORCE MATERIEL COMMAND,,90000,Firm Fixed Price,Business Process Engineering,Small Bus Set-Aside,541614,1
CONTRACT  ITEMS AND SERVICES INFORMATION TECHNOLOGY AND  PROGRAM MANAGEMENT SUPPORT,AGRICULTURE/FOOD AND NUTRITION SERVICE,AG3198S120022,0,TBD,Administrative / Logistics / Support,Service Disabled Veteran Owned Small Business,541990,1
CONTRACT SUPPORT SERVICES FOR THE ARMY CAPABILITIES INTEGRATION CENTER,ARMY/ARMY TRAINING AND DOCTRINE COMMAND,W911S014R0004,240000,Cost Plus Fixed Fee,"Management, Scientific, and Technical Consulting Services",Full and Open / Unrestricted,541690,2
CONTRACT WRITING SYSTEM,DEFENSE/DEFENSE CONTRACT MANAGEMENT AGENCY,S5121A13Q0002,420,TBD,Information Technology,Full and Open / Unrestricted,541512,5
CONTRACTED ADVISORY AND ASSISTANCE SERVICE FOR J8 STUDIES ANALYSIS AND GAMING DIVISION,DEFENSE/JOINT CHIEFS OF STAFF,,1544,Cost Reimbursement,Administrative / Logistics / Support,Full and Open / Unrestricted,541611,1
CONTRACTED ADVISORY AND ASSISTANCE SERVICES TO SUPPORT THE JOINT STAFF LOGISTICS DIRECTORATE,NAVY/NAVAL SEA SYSTEMS COMMAND,,17829,Cost Plus Fixed Fee,IT Professional Services,Other,541330,4
CONTRACTOR ADVISORY AND ASSISTANCE SERVICES SUPPORT FOR THE COUNTERINSURGENCY TARGETING PROGRAM INTELLIGENCE FUSION CENTER,ARMY/ARMY INTELLIGENCE AND SECURITY COMMAND ,W911W513CAAS,3342,Cost Plus Fixed Fee,"Management, Scientific, and Technical Consulting Services","Hubzone,Sole Source",541618,1
COOPERATIVE THREAT REDUCTION LOGISTICS SUPPORT,DEFENSE/DEFENSE THREAT REDUCTION AGENCY,CTI119925223,99500,Cost Plus Fixed Fee,Administrative / Logistics / Support,Full and Open / Unrestricted,541990,2
CORROSION POLICY AND OVERSIGHT OFFICE SUPPORT,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,HQ003413R0032,50000,Blanket Purchase Agreement,Engineering / Scientific,Other,541330,1
COST ANALYSIS EARNED VALUE MANAGEMENT AND FINANCIAL MANAGEMENT SUPPORT SERVICES,NAVY/NAVAL AIR SYSTEMS COMMAND,N0002413R3156,0,Cost Plus Fixed Fee,Financial Services,Small Bus Set-Aside,541330,1
COST ASSESSMENT DATA ENTERPRISE PROJECT,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,HQ003413R0055,32492,Firm Fixed Price,Management Consulting,Other,541611,2
COST ASSESSMENT DATA ENTERPRISE PROJECT,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,HQ003413R0055,0,Firm Fixed Price,Enterprise / Business Systems,Undetermined,541611,1
COST ENGINEERING ESTIMATING ANALYSIS AND ASSESSMENT SUPPORT TO THE WARFARE AND MISSION ANALYSIS BRANCH,NAVY/NAVAL SEA SYSTEMS COMMAND,,3427,Task Order,"Management, Scientific, and Technical Consulting Services",Other,541330,3
COST SCHEDULE ANALYSIS AND EARNED VALUE MANAGEMENT SUPPORT SERVICES,CONGRESS/GOVERNMENT ACCOUNTABILITY OFFICE,GAO13N0048,3500,Cost Reimbursement,Professional Services,Full and Open / Unrestricted,,2
COTS QUALITY MANAGEMENT TOOL APPLICATION,DEFENSE/DEFENSE LOGISTICS AGENCY,SP330012R0005,631,Firm Fixed Price,Software,Small Bus Set-Aside,511210,1
COUNTER NARCOTERRORISM AND GLOBAL THREATS SUPPORT SERVICES,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,FA489013R0110,12728,Cost Plus Fixed Fee,Administrative / Logistics / Support,Full and Open / Unrestricted,541611,2
COUNTER NARCOTICS AND GLOBAL THREATS TRAINING SUPPORT SERVICES,AIR FORCE/AIR COMBAT COMMAND,FA489014R0024,353000,Cost Plus Fixed Fee,Education / Training,Full and Open / Unrestricted,541330,1
CYBER CENTRIC MISSION SUPPORT SERVICES,HOMELAND SECURITY/NATIONAL PROTECTION AND PROGRAMS DIRECTORATE,HSHQDC14R00008,75980,Cost Plus Award Fee,Program/Project Management,"Small Bus Set-Aside,Full and Open / Unrestricted",541519,3
CYBER SECURITY AND INFORMATION TECHNOLOGY,LABOR/OFFICE OF THE CHIEF FINANCIAL OFFICER,DOL141RP21900,16000,Firm Fixed Price,Security,Small Bus Set-Aside,541513,1
CYBER SECURITY INFORMATION ANALYSIS CENTER,DEFENSE/DEFENSE RESEARCH AND ENGINEERING,FA807511R0002,26978,Cost Plus Fixed Fee,Base Operations / Facilities Management,Small Bus Set-Aside,541712,1
CYBER TRAINING AND OTHER SUPPORT SDVOSB,STATE/BUREAU OF DIPLOMATIC SECURITY (CODE DS),SAQMMA14R0121,25000,Firm Fixed Price,Education and Training,Service Disabled Veteran Owned Small Business,541519,3
DATA COLLECTION AND STATISTICAL ANALYSIS SUPPORT SERVICES,NAVY/MILITARY SEALIFT COMMAND,N0003313T8013,1905,Firm Fixed Price,Data Management/Administration,Small Bus Set-Aside,541611,3
DATA MINING SUPPORT SERVICES,DEFENSE/DEFENSE LOGISTICS AGENCY,,7793,Firm Fixed Price,Data Management/Administration,Undetermined,541511,2
DATA QUALITY AND INFORMATION MANAGEMENT,AIR FORCE/AIR FORCE MEDICAL SERVICE,FA805211R0017,2230,Cost Reimbursement,Data Management,Small Bus Set-Aside,541611,4
DATA SCIENCE OPERATIONS REQUIREMENTS AND EXPLOITATION,DEFENSE/DEFENSE INTELLIGENCE AGENCY,HHM40214RFIDORE,519000,Indefinite Delivery Indefinite Quantity,Administrative / Logistics / Support,Full and Open / Unrestricted,541990,1
DATA SUPPORT AND ANALYSIS,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,HT001114RFI0004,2970,TBD,"Management, Scientific, and Technical Consulting Services",Undetermined,541611,1
DCAPES SUSTAINMENT AND DEVELOPMENT,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA877113R0027,49000,Cost Plus Fixed Fee,System Design and Architecture,"Small Bus Set-Aside,Other",541511,1
DCIN PCIS OPERATION AND MAINTENANCE,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,,60000,TBD,Maintenance Support Services,Undetermined,541512,1
